用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
103581148704,河东的天空,2026-04-26,山西,评论区某些人对电影延期有意见的话，是不是应该先批判一下。疯狂动物城2，去年11月放到今年清明下下线，电影院放完之后上线了平台云影院卖几个月，才能vip免费看？,4,7629631847580761798
106412545121,她胃不好总吃辣,2026-04-26,四川,凌晨场没人，包场[看],4,7629631847580761798
2440569126134215,^_^,2026-04-26,河北,,0,7629631847580761798
2440569126134215,^_^,2026-04-26,河北,,0,7629631847580761798
1416592722508494,楊啸野,2026-04-26,河北,我没有想赢，我只是不想输[赞],0,7629631847580761798
3801466683525305,辞修,2026-04-26,甘肃,3分钟前,0,7629631847580761798
1337443541582125,小伍,2026-03-14,四川,你开过鸿蒙智行的gt7吗,0,7607677812887113012
92628213241,挖矿小能手,2026-02-17,山东,这片女主演的最好,0,7607677812887113012
4406465880932151,八方叻,2026-02-17,陕西,四海的后劲太大，到现在都没缓过来,23,7607677812887113012
2889170710954691,维修区刷紫,2026-02-17,江苏,看到小周了[色][色][色],1,7607677812887113012
2225010997997182,茉域美学·小管老师,2026-02-17,广东,如果我没记错的话好像韩寒拿了两次年度总冠军,9,7607677812887113012
22355850248,MMM,2026-02-17,河南,堂主 不干二手车了[杀马特],0,7607677812887113012
3649994470992711,秋水仙素,2026-02-17,湖北,我想起当年林志颖开特斯拉的事…想想特斯拉车主真要感谢小米[呲牙],5,7607677812887113012
103803398188,你好我叫谢小萌，叫我查尔斯好了,2026-02-17,四川,最感动的一慕,3,7607677812887113012
87091881162,幼稚园shark,2026-02-22,上海,大概十几年前，遇到过一位CTCC某厂队技师，同样的问题，他是这么说的文坛跑的最快的，车手写作最牛的。 主要还是333实力强。,2,7607677812887113012
95668146791,谁稀罕,2026-02-17,湖北,,1,7607677812887113012
67148183064,一昂yang,2026-02-20,江苏,斯堪的纳维亚钟摆需要和手刹结合吗？,0,7607677812887113012
3623623031791407,游戏天下,2026-02-21,安徽,难怪一个女的都没有[微笑],0,7607677812887113012
4160184803929438,金戈,2026-02-17,辽宁,刚看完，牛逼，好看,1,7607677812887113012
4481259555520836,嘔霍,2026-02-17,上海,什么时候上4啊,0,7607677812887113012
103204864476,好小仔🤒,2026-02-20,江苏,确实写实 因为张臻东ctcc也是个人车手[大笑],0,7607677812887113012
2358877304663287,独自离开,2026-02-17,四川,全片就给我一个字，爽,1,7607677812887113012
4283345935018072,tcoftc,2026-02-17,重庆,拉力赛还有undercut[捂脸],0,7607677812887113012
96195210880,FT,2026-02-18,江苏,讲拍摄故事的电影还是要慎重,0,7607677812887113012
7595139748772676665,知足长乐,2026-02-17,浙江,,0,7607677812887113012
4059002086899283,看不到你确看到了他,2026-02-22,宁夏,前半段我直接睡着了,0,7607677812887113012
51547628856,在路上，莫回首,2026-02-18,江苏,隔壁猴哥已经解密了550w一台，一共四台车,38,7607672025821570725
805266667605072,纯会长,2026-03-03,浙江,加油!超越那台黄色路特斯!!![比心][比心][比心][比心],0,7607672025821570725
92465742985,、凉水好凉,2026-02-22,浙江,刚刷到猴哥说了530w一台，这样的车准备了4台,1,7607672025821570725
65038907123,ALTEZZA咬地鲨🦈🦈🦈,2026-02-22,吉林,为啥不用rs3呢,0,7607672025821570725
94261631996,小孙手抖拧不紧,2026-02-20,湖北,“跟我玩脏！哈哈哈哈哈哈”[图片表情],0,7607672025821570725
85045001166,Leon·Maxim,2026-02-21,广西,帅就完事了[看],1,7607672025821570725
82557783094,遛街大爷,2026-02-17,江苏,去查查pegasus 是啥吧,1,7607672025821570725
105044683343,咬一口汉堡🍔,2026-02-19,河北,我不是想赢，我只是不想输,0,7607672025821570725
2722025785531643,宫二头肌,2026-02-19,广西,是不是已经开始开拍了？,3,7607672025821570725
290701259311004,用户8813278653734,2026-02-21,浙江,真车买不起呀，没钱[捂脸]打算去买个车模。[捂脸],0,7607672025821570725
3456499861689213,我是井盖，只求路过,2026-02-19,江苏,你来拍飞驰4吧，线索已经给你了,1,7607672025821570725
3935848700853051,万一？,2026-02-20,四川,主播晚上好漂亮[感谢][感谢][感谢][鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞],0,7607672025821570725
57811769841,王者zz,2026-02-19,上海,该上传统手艺了[捂脸][捂脸][捂脸],0,7607672025821570725
7417452681733866554,泛泛之辈,2026-02-25,河南,原来叶经理叫叶勇,0,7607672025821570725
2258813724394867,关中王,2026-02-22,山东,4还出吗？,0,7607672025821570725
461422904738909,誓要入刀山277,2026-02-22,山东,韩寒都拿冠军，我国的赛车水平应该不高,0,7607672025821570725
2069721619638411,梦里千百度寻她,2026-03-01,安徽,这场面是真[赞],42,7611843054722354474
60948030205,珍惜,2026-03-01,广东,国版速度与激情[赞],42,7611843054722354474
2375366634905376,F莹,2026-03-29,黑龙江,只要没有绿幕就好,0,7611843054722354474
58718627279,爱莎ELSA,2026-03-01,辽宁,牛👍,1,7611843054722354474
1399047716086792,路过呀,2026-04-25,河南,夏天开始了，来你最想去哪里玩，一人一个,8,7632590658839562853
1399047716086792,路过呀,2026-04-25,河南,[戳手手]其实我挺好奇的有多少人怕水,5,7632590658839562853
2305036524465128,叙白,2026-04-27,安徽,请把背景音乐换成逮虾户,0,7632590658839562853
69805141316,神明偏爱鹿🦌,2026-04-25,福建,刺激哦 就是有点短[看],0,7632590658839562853
87123769790,爱摊手23,2026-04-26,江西,@Keroro 带哥哥我去玩,0,7632590658839562853
